#NSGA2
popsize 100
maxGen 100
numVar 13
numObj 2
numCons 7
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 100
currentGen	1
evaluateCount	100
totalTime	0.346105
firstFrontCount	11
frontCount	15
avgEvalTime	0.00249435
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Var13	Obj1	Obj2	Cons1	Cons2	Cons3	Cons4	Cons5	Cons6	Cons7	
0.763486	-0.128666	0.763853	0.145722	0.982154	0.8928	-0.243358	0.743452	0.389211	0.666059	0.861341	0.763265	0.944887	14.1293	1.67959	0	0	0	0	0	0	0	
0.362842	0.572725	0.0741402	-0.252556	0.834612	0.261398	-0.0677329	0.327599	0.59041	0.528352	0.432717	0.376386	0.324093	12.2646	0.408903	0	0	0	0	0	0	0	
0.390002	0.837377	0.741436	-0.0961708	-0.0542127	0.193243	-0.0398184	0.55338	0.96698	0.724247	0.610581	0.381631	0.430556	7.72818	0.96439	0	0	0	0	0	0	0	
0.592088	0.735503	0.00503697	0.885785	0.0794094	0.952897	0.676636	0.970331	0.969346	0.718751	0.632224	0.713966	0.787741	8.90142	1.87849	0	0	0	0	0	0	0	
0.54413	0.0382788	-0.14579	0.738674	0.202986	0.480093	0.156091	0.917778	0.516754	0.998886	0.29132	0.490086	0.677384	16.0355	0.581344	0	0	0	0	0	0	0	
0.287047	0.139686	0.551505	-0.0510758	-0.169213	0.50438	-0.193642	0.998571	0.272118	0.435176	0.813159	0.851525	0.531776	14.0329	0.296443	0	0	0	0	0	0	0	
0.426441	-0.265427	0.572597	-0.280466	-0.0319629	0.524533	0.685866	0.926428	0.747079	0.391811	0.336625	0.429847	0.429129	18.7571	0.982384	0	0	0	0	0	0	0	
0.321457	0.232158	0.98133	0.079323	0.456249	0.407489	0.637184	0.576543	0.727573	0.28493	0.28083	0.749699	0.669514	10.9271	1.26926	0	0	0	0	0	0	0	
0.00205856	-0.0767975	0.204298	0.450849	0.585292	0.761323	0.772849	0.9112	0.610256	0.587847	0.451147	0.513184	0.864255	20.269	1.56358	0	0	0	0	0	0	0	
0.595576	0.852779	0.176051	0.719823	0.311271	-0.15872	0.0244498	0.462254	0.320927	0.98534	0.607392	0.976853	0.492867	7.03936	0.76971	0	0	0	0	0	0	0	
0.174418	0.241388	0.827575	0.594418	-0.0598294	0.747561	0.618324	0.59713	0.254749	0.384524	0.533716	0.73949	0.668932	13.9499	1.65202	0	0	0	0	0	0	0	
0.225542	0.878971	-0.28525	0.623222	0.391901	0.347106	0.0945299	0.772452	0.918852	0.462843	0.665017	0.491519	0.539837	9.80678	0.825713	0	0	0	0	0	0	0	
0.728062	0.848196	0.966377	0.53285	0.0385703	-0.251401	-0.0874937	0.294987	0.755672	0.771795	0.620726	0.327737	0.765682	9.59837	1.39059	0	0	0	0	0	0	0	
0.435503	-0.128804	0.703002	0.284083	-0.0276719	0.95433	0.758485	0.709347	0.367609	0.662862	0.921364	0.90685	0.454894	16.9364	1.60315	0	0	0	0	0	0	0	
0.370187	0.29123	0.638692	0.542807	0.495114	0.107699	0.49833	0.950696	0.517815	0.812845	0.676965	0.291656	0.743171	9.93327	0.901447	0	0	0	0	0	0	0	
0.382578	-0.290788	0.142499	0.542343	0.490358	0.104801	0.151792	0.796744	0.470805	0.797056	0.459663	0.796598	0.985893	15.8828	0.376829	0	0	0	0	0	0	0	
0.446508	0.531972	0.21313	-0.157613	0.92119	0.680692	0.367887	0.83814	0.941148	0.725777	0.873653	0.95178	0.687181	13.8685	1.36532	0	0	0	0	0	0	0	
-0.188354	0.700136	-0.19292	-0.0679427	0.464297	0.580756	0.311515	0.758704	0.420855	0.726369	0.424717	0.405592	0.36044	16.979	0.770087	0	0	0	0	0	0	0	
0.735968	0.196539	0.239784	0.0328809	0.484245	0.855134	-0.192142	0.975446	0.909473	0.444287	0.369303	0.537644	0.929338	13.6219	0.922268	0	0	0	0	0	0	0	
0.715333	0.308735	0.534984	0.37468	0.391595	0.296071	0.504114	0.672555	0.81551	0.795751	0.861645	0.81751	0.637108	9.28209	0.894045	0	0	0	0	0	0	0	
-0.0991254	0.399231	0.00907128	-0.264931	0.398854	0.165205	0.785718	0.665252	0.614195	0.809836	0.474908	0.43761	0.848497	17.1011	0.652658	0	0	0	0	0	0	0	
-0.228924	0.168638	0.559175	-0.182549	0.9805	0.200137	0.140098	0.536746	0.267857	0.718933	0.576148	0.532481	0.53056	14.2492	0.543362	0	0	0	0	0	0	0	
0.64202	0.225036	-0.0336052	0.684823	0.320626	0.316222	-0.264596	0.400925	0.885558	0.416198	0.945378	0.272081	0.504069	12.2661	0.493059	0	0	0	0	0	0	0	
0.128117	-0.09634	-0.0982038	0.601438	0.0429875	-0.0974439	0.828575	0.833307	0.64843	0.968388	0.610894	0.769029	0.387232	16.4782	0.431745	0	0	0	0	0	0	0	
0.827995	0.0366749	0.180955	-0.0344392	0.35717	0.0435497	-0.0971675	0.674689	0.625627	0.623742	0.982875	0.556225	0.934916	12.5314	0.244251	0	0	0	0	0	0	0	
-0.112364	0.40222	0.663967	0.131076	0.429226	0.972339	0.814994	0.986487	0.826621	0.829035	0.956019	0.516323	0.571476	15.0225	1.49016	0	0	0	0	0	0	0	
0.360648	-0.12181	0.699124	0.228513	0.717624	0.682665	0.285673	0.656929	0.840239	0.526927	0.878104	0.812869	0.371816	16.614	1.19305	0	0	0	0	0	0	0	
0.249024	0.755087	0.837392	0.545078	0.676675	0.529362	0.397849	0.589503	0.686217	0.381457	0.653801	0.546341	0.25698	2.71852	1.68979	0	0	0	0	0	0	0	
0.158459	0.380746	0.693839	0.996247	-0.0328212	-0.0681652	0.331928	0.392209	0.586768	0.803336	0.405239	0.296993	0.693413	5.7329	0.99198	0	0	0	0	0	0	0	
0.990368	-0.0631154	0.955683	0.758381	0.543006	0.494553	0.433441	0.92431	0.766463	0.87065	0.836929	0.925519	0.518962	9.41256	1.89807	0	0	0	0	0	0	0	
-0.149095	0.0973408	0.392029	0.724383	0.19624	0.24315	0.245225	0.30699	0.59829	0.446538	0.907368	0.419856	0.292942	11.9327	0.557244	0	0	0	0	0	0	0	
0.927337	-0.184065	0.592095	0.334252	0.426728	0.745526	-0.0953109	0.980857	0.904293	0.621024	0.889154	0.313425	0.869208	14.6824	0.908381	0	0	0	0	0	0	0	
0.857925	0.518297	-0.293303	0.606532	0.523974	0.581271	0.137807	0.541251	0.540664	0.301447	0.730729	0.676294	0.950086	11.3939	1.08819	0	0	0	0	0	0	0	
0.906562	0.17998	0.628918	-0.230445	0.36889	0.831781	0.460288	0.364658	0.544071	0.669066	0.99043	0.338101	0.837629	16.1356	1.34972	0	0	0	0	0	0	0	
0.762793	0.959742	0.0673112	0.822978	0.967586	0.501788	-0.0330476	0.868221	0.616268	0.402232	0.850546	0.929455	0.991908	2.52171	2.25583	0	0	0	0	0	0	0	
0.102022	0.47224	0.00433921	-0.155711	0.413092	0.589845	-0.295798	0.867271	0.306183	0.771563	0.356294	0.316718	0.373918	14.3265	0.413606	0	0	0	0	0	0	0	
-0.284617	0.495062	-0.16499	0.23405	-0.0285833	-0.21616	-0.231233	0.952475	0.920766	0.828197	0.793373	0.358369	0.29728	12.4724	0.206041	0	0	0	0	0	0	0	
0.554618	0.862189	0.555839	-0.236861	-0.222492	0.336546	-0.0310897	0.8628	0.31879	0.649913	0.747128	0.816746	0.71934	10.9178	0.771953	0	0	0	0	0	0	0	
0.889681	0.506989	0.189965	0.578001	-0.258643	0.67711	0.92449	0.2668	0.651229	0.795078	0.311191	0.666117	0.477248	15.3937	1.94183	0	0	0	0	0	0	0	
0.63908	0.241666	-0.121247	0.262192	0.397467	0.558878	0.697269	0.853313	0.679069	0.265382	0.346757	0.860991	0.735646	16.1953	1.21814	0	0	0	0	0	0	0	
0.764318	0.932559	0.430507	0.197476	0.389612	0.482087	0.443123	0.646516	0.681224	0.347131	0.436508	0.946408	0.945524	6.93098	1.46874	0	0	0	0	0	0	0	
0.238198	0.926851	0.369662	0.973247	0.241178	0.890223	-0.186717	0.590717	0.610757	0.654885	0.8888	0.962534	0.989286	3.69432	1.80541	0	0	0	0	0	0	0	
-0.182685	0.162038	0.873072	0.800048	0.298686	0.216117	0.451681	0.716768	0.859443	0.895552	0.443247	0.67303	0.620182	12.5229	1.25271	0	0	0	0	0	0	0	
0.490939	0.171983	0.707292	0.204385	0.362061	0.968779	0.998957	0.942253	0.355916	0.646429	0.907568	0.78522	0.367478	15.5401	2.10231	0	0	0	0	0	0	0	
0.553045	0.508065	-0.177515	0.928182	0.99748	-0.119946	0.0484196	0.473094	0.454545	0.365784	0.345243	0.658569	0.339572	7.84046	0.777615	0	0	0	0	0	0	0	
0.252685	0.241572	0.411207	0.709194	0.927118	0.360957	0.968917	0.890344	0.810201	0.831855	0.698952	0.410733	0.948236	15.3593	1.70403	0	0	0	0	0	0	0	
-0.0224404	-0.177215	-0.240871	0.953998	0.744366	-0.242288	0.0682978	0.381916	0.901267	0.897353	0.851785	0.460781	0.468433	18.0125	0.972396	0	0	0	0	0	0	0	
0.971778	0.411837	0.0649186	0.905096	-0.130108	0.823864	0.263849	0.790345	0.966171	0.567516	0.508072	0.445019	0.738799	11.0715	1.39396	0	0	0	0	0	0	0	
-0.167565	-0.285208	0.851889	-0.201811	-0.271662	0.611992	0.690029	0.607096	0.450977	0.974024	0.781898	0.814974	0.770527	17.0391	1.01217	0	0	0	0	0	0	0	
0.847433	0.645162	0.269309	0.765556	0.585731	0.42591	0.853761	0.827908	0.286646	0.626661	0.496102	0.573012	0.367596	5.61065	2.01334	0	0	0	0	0	0	0	
-0.182216	0.186903	0.604233	0.495669	0.178079	0.826243	0.716022	0.485998	0.454797	0.351732	0.957026	0.566888	0.357514	16.0412	1.77011	0	0	0	0	0	0	0	
0.745116	-0.0490263	-0.292373	0.535767	0.504261	-0.157273	0.365545	0.818363	0.540027	0.468976	0.599396	0.788857	0.47557	13.4555	0.468934	0	0	0	0	0	0	0	
-0.299932	0.655888	0.924093	0.0162644	-0.0601631	0.0822295	0.471163	0.578702	0.427831	0.834296	0.723678	0.740706	0.963021	9.18096	0.726854	0	0	0	0	0	0	0	
0.761743	0.631146	-0.192718	0.00215544	0.148826	0.77143	0.331481	0.452727	0.335796	0.323642	0.439663	0.527158	0.294929	15.1037	1.32666	0	0	0	0	0	0	0	
0.646149	-0.149529	-0.106539	0.38942	0.661917	-0.106471	0.721257	0.416015	0.797554	0.405809	0.75235	0.885461	0.872742	16.1897	0.665829	0	0	0	0	0	0	0	
0.182545	0.0381655	0.584055	0.385162	-0.281339	0.811926	-0.111401	0.574799	0.677866	0.549474	0.554853	0.606229	0.690506	14.997	0.74096	0	0	0	0	0	0	0	
0.240994	0.203867	0.519182	0.95962	0.873818	0.126902	-0.0785979	0.92359	0.506551	0.956217	0.392473	0.61643	0.8101	11.3812	1.17408	0	0	0	0	0	0	0	
0.716897	0.10173	0.250089	0.586244	0.727178	-0.0438097	-0.0195276	0.418755	0.554039	0.473843	0.649756	0.451075	0.374292	8.76822	0.547725	0	0	0	0	0	0	0	
0.105516	0.582211	0.305804	-0.246571	0.0721373	0.118408	0.582305	0.438341	0.663453	0.806906	0.666427	0.250888	0.910621	13.5524	0.53525	0	0	0	0	0	0	0	
0.694075	0.415969	0.858453	-0.204926	0.753492	-0.106916	0.00982602	0.509663	0.595474	0.396188	0.637254	0.886292	0.44885	7.72632	0.74235	0	0	0	0	0	0	0	
