#NSGA2
popsize 100
maxGen 100
numVar 13
numObj 2
numCons 7
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 100
currentGen	1
evaluateCount	100
totalTime	0.565154
firstFrontCount	14
frontCount	15
avgEvalTime	0.00385715
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Var13	Obj1	Obj2	Cons1	Cons2	Cons3	Cons4	Cons5	Cons6	Cons7	
0.994975	-0.198372	0.275482	-0.161351	0.950468	-0.293976	0.707384	0.862977	0.901521	0.313327	0.549837	0.444903	0.850051	13.5425	0.754528	0	0	0	0	0	0	0	
0.260838	0.883842	-0.0635989	0.0429438	-0.110799	-0.123111	0.83008	0.684778	0.662395	0.358716	0.889773	0.716541	0.513214	11.6107	0.759076	0	0	0	0	0	0	0	
0.367224	0.22235	-0.201243	0.011891	-0.139685	-0.0609199	0.0119383	0.56295	0.287241	0.927037	0.95859	0.618148	0.616939	13.9287	0.0800536	0	0	0	0	0	0	0	
0.139035	0.87007	0.180021	-0.155436	0.714328	0.20666	0.0141987	0.552934	0.322341	0.34898	0.956538	0.967101	0.681406	11.143	0.659513	0	0	0	0	0	0	0	
-0.222287	0.00521389	0.159106	0.767552	-0.279976	-0.244069	-0.080313	0.736837	0.798792	0.735809	0.588193	0.660257	0.472241	13.3945	0.375874	0	0	0	0	0	0	0	
0.668101	-0.0543585	0.592808	-0.0614355	0.17903	0.513304	0.714296	0.310844	0.947039	0.831785	0.615094	0.576894	0.585088	15.5135	0.965638	0	0	0	0	0	0	0	
0.0982543	0.361061	0.364003	0.762916	0.733281	0.537614	0.192192	0.858685	0.649619	0.513045	0.954251	0.906957	0.662617	14.0471	1.36844	0	0	0	0	0	0	0	
0.509218	0.463158	-0.029935	0.0916202	0.3122	-0.000365392	0.797601	0.396073	0.419441	0.378031	0.420748	0.576774	0.483327	15.6042	0.755652	0	0	0	0	0	0	0	
0.900394	0.25927	-0.0597388	0.876345	0.973673	0.270531	-0.155545	0.443549	0.55654	0.696172	0.446659	0.702132	0.783412	9.25931	1.06439	0	0	0	0	0	0	0	
-0.0117292	-0.147357	0.0856786	0.114412	0.251417	0.360216	-0.188829	0.446862	0.850761	0.271915	0.946641	0.797748	0.616457	17.1962	0.174197	0	0	0	0	0	0	0	
0.452083	0.00846865	0.296503	0.952015	0.410847	0.377477	0.0010727	0.616673	0.718045	0.759352	0.546636	0.525577	0.990987	13.3026	0.823802	0	0	0	0	0	0	0	
-0.250939	0.850718	0.887273	0.735039	-0.171674	0.0404325	0.135964	0.759796	0.352415	0.790921	0.330071	0.740318	0.62063	5.32207	1.00535	0	0	0	0	0	0	0	
0.712767	0.629548	0.874837	0.858199	0.134412	0.60837	-0.0428472	0.272906	0.808056	0.625017	0.609942	0.928542	0.7074	3.83848	1.57837	0	0	0	0	0	0	0	
0.502966	0.817275	0.747136	0.449738	-0.0622008	0.0119116	0.852466	0.271506	0.617426	0.375945	0.98401	0.784521	0.625354	9.96349	1.17839	0	0	0	0	0	0	0	
0.312415	-0.222495	0.586563	-0.24484	-0.207121	0.378145	-0.174251	0.863611	0.86316	0.79183	0.362399	0.744704	0.638946	14.8934	0.261233	0	0	0	0	0	0	0	
0.964867	0.543689	0.74043	0.289937	0.262109	0.772908	-0.191489	0.349878	0.380041	0.543203	0.873535	0.852523	0.295353	8.1567	1.15312	0	0	0	0	0	0	0	
0.219035	0.384939	0.241839	0.553918	0.516365	0.0795793	0.261147	0.261615	0.988048	0.375376	0.329662	0.529307	0.398589	10.8293	0.415447	0	0	0	0	0	0	0	
0.336594	0.141341	0.93712	0.896432	-0.23152	0.659216	0.0498553	0.567127	0.660903	0.957053	0.563308	0.987289	0.476091	5.75879	1.4962	0	0	0	0	0	0	0	
0.611428	0.566241	0.400864	0.607537	0.566486	-0.0684278	-0.133581	0.99931	0.378341	0.274451	0.6709	0.9114	0.751881	5.81916	0.843781	0	0	0	0	0	0	0	
-0.0524368	0.179592	0.298944	0.976129	-0.0966736	0.81218	0.538194	0.532204	0.393193	0.57119	0.611517	0.340459	0.692131	14.807	1.70451	0	0	0	0	0	0	0	
-0.00595602	0.200005	0.457882	0.027348	0.0775729	0.502218	0.0448652	0.868282	0.986998	0.797687	0.507908	0.688052	0.330827	14.72	0.358646	0	0	0	0	0	0	0	
0.878201	0.84355	0.763089	0.0389464	0.472663	-0.270734	0.252837	0.484539	0.371114	0.384075	0.567164	0.320672	0.698893	11.0263	0.807268	0	0	0	0	0	0	0	
0.312202	0.604734	0.609854	0.53009	-0.256315	-0.210552	0.11548	0.648148	0.740834	0.555714	0.864986	0.788769	0.976487	7.2208	0.714399	0	0	0	0	0	0	0	
0.390734	0.122689	-0.162682	0.494246	0.712443	0.250489	-0.18193	0.449854	0.365243	0.460754	0.580064	0.645357	0.593068	12.0019	0.480605	0	0	0	0	0	0	0	
0.837983	0.373468	0.926709	0.529022	0.945002	0.0129191	0.578959	0.466798	0.753856	0.771355	0.300995	0.441093	0.41803	3.74484	1.49621	0	0	0	0	0	0	0	
0.568183	0.79771	0.147801	0.714676	0.577932	-0.29127	0.482822	0.540078	0.936993	0.250863	0.596837	0.568262	0.595687	7.37792	0.972262	0	0	0	0	0	0	0	
0.701208	0.119213	0.720161	0.312764	-0.253508	-0.0713633	0.638285	0.605114	0.364541	0.505843	0.705542	0.393809	0.80382	11.6568	0.663596	0	0	0	0	0	0	0	
0.0157045	0.892652	0.0497801	0.69515	-0.0547394	0.0737476	-0.181552	0.682157	0.762522	0.659945	0.569297	0.733332	0.735713	7.75673	0.612751	0	0	0	0	0	0	0	
0.582722	0.526523	0.928726	-0.0283846	0.622066	0.00709975	-0.144785	0.705478	0.587603	0.594044	0.746459	0.827714	0.512664	6.16678	0.91229	0	0	0	0	0	0	0	
0.560612	0.241006	0.794508	0.782792	0.0333733	0.497499	0.456924	0.655555	0.902456	0.448584	0.488556	0.339411	0.954872	8.81602	1.28254	0	0	0	0	0	0	0	
0.539217	0.323302	0.531112	0.408131	0.541505	0.407052	0.637361	0.641871	0.995278	0.414007	0.329349	0.332273	0.297694	11.4115	1.18274	0	0	0	0	0	0	0	
0.225954	0.282885	0.175561	0.692556	0.516265	0.703575	0.91271	0.979556	0.394021	0.354156	0.7722	0.320365	0.644053	16.0207	1.99507	0	0	0	0	0	0	0	
0.389447	0.819482	0.330309	0.211493	0.57286	0.663635	0.376068	0.510785	0.362498	0.689569	0.446609	0.283341	0.8162	10.3085	1.30527	0	0	0	0	0	0	0	
